,Console,Review,Score,Name
0,PC,Early Access,6,Baldur's Gate 3 Early Access 
1,NS,Good,7,Control: Ultimate Edition Cloud Version 
2,"XONE, PC, PS4",Good,7,Doom Eternal: The Ancient Gods Part 1 
3,"XONE, PC, PS4",Great,8,Watch Dogs: Legion 
4,PC,Great,8,Ring Of Pain 
5,NS,Great,8,Pikmin 3 Deluxe 
6,"PC, XONE, PS4",Good,7,Ghostrunner 
7,"PC, NS",Great,8,Disc Room 
8,"XONE, PS4",Superb,9,NHL 21 
9,PC,Good,7,Noita 
10,PC,Great,8,Amnesia: Rebirth 
11,"PC, PS4",Good,7,Genshin Impact 
12,"PC, XONE, PS4, NS",Fair,6,Ikenfell 
13,NS,Superb,9,Ring Fit Adventure 
14,"XONE, PC, PS4",Good,7,Star Wars: Squadrons 
15,"NS, NS",Good,7,Mario Kart Live: Home Circuit 
16,PC,Good,7,I Am Dead 
17,PS4,Great,8,FIFA 21 
18,NS,Good,7,Super Mario Bros. 35 
19,PC,Good,7,The Solitaire Conspiracy 
20,"XONE, PS4",Great,8,Crash Bandicoot 4 
21,NS,Fair,6,Kirby Fighters 2 
22,PC,Fair,6,Pendragon 
23,PC,Good,7,Serious Sam 4 
24,PS4,Fair,6,NBA 2K21 
25,PC,Great,8,Crusader Kings 3 
26,PS4,Great,8,Spelunky 2 
27,PC,Fair,6,Mafia: Definitive Edition 
28,PC,Fair,6,Surgeon Simulator 2 
29,"PC, NS",Superb,9,Hades 
30,PS4,Superb,9,13 Sentinels: Aegis Rim 
31,NS,Great,8,Super Mario 3D All-Stars 
32,PC,Terrible,2,Road To Guangdong 
33,"PC, PS4, XONE, NS",Fair,6,Vampire: The Masquerade - Shadows Of New York 
34,PS4,Great,8,Othercide 
35,PC,Good,7,Marvel's Avengers 
36,"XONE, PC",Good,7,Tell Me Why 
37,NS,Great,8,Moon 
38,PC,Great,8,Star Renegades 
39,NS,Great,8,The Last Campfire 
40,"PS4, XONE",Superb,9,Tony Hawk's Pro Skater 1 + 2 
41,"PC, NS",Superb,9,Paradise Killer 
42,"PC, PS4, NS",Great,8,Evergate 
43,PS4,Fair,6,Madden 21 
44,"PC, NS",Superb,9,A Short Hike 
45,"PS4, PC, XONE",Good,7,Project Cars 3 
46,PC,Fair,6,Control AWE DLC 
47,PS4,Mediocre,5,Windbound 
48,PC,Mediocre,5,Thousand Threads 
49,PC,Superb,9,Spiritfarer 
50,"PC, NS",Good,7,No Straight Roads 
51,PC,Superb,9,Microsoft Flight Simulator 
52,IOS,Bad,3,Next Stop Nowhere 
53,PS4,Great,8,PGA Tour 2K21 
54,PC,Superb,9,Dead By Daylight 
55,PC,Great,8,Mortal Shell 
56,PC,Mediocre,5,Skater XL 
57,PC,Fair,6,Battletoads 
58,"PC, XONE",Fair,6,Hyper Scape 
59,PC,Good,7,A Total War Saga: Troy 
60,PC,Great,8,Risk Of Rain 2 
61,"PC, PS4",Good,7,Fall Guys: Ultimate Knockout 
62,PC,Mediocre,5,Skully 
63,PC,Superb,9,Umurangi Generation 
64,PC,Great,8,Littlewood 
65,PS4,Superb,9,Horizon Zero Dawn 
66,"XONE, PC",Early Access,6,Grounded Early Access 
67,PC,Superb,9,Desperados 3 
68,PC,Good,7,Rock Of Ages 3: Make & Break 
69,"PC, IOS",Mediocre,5,Beyond A Steel Sky 
70,NS,Great,8,Panzer Paladin 
71,XONE,Poor,4,Maid Of Sker 
72,XONE,Fair,6,Destroy All Humans 
73,"PC, XONE, NS",Good,7,Carrion 
74,PC,Good,7,Necrobarista 
75,"XONE, PC",Early Access,7,Ooblets Early Access 
76,PC,Fair,6,Fight Crab 
77,PC,Fair,6,Rocket Arena 
78,"PC, PS4, NS, XONE",Great,8,Superliminal 
79,NS,Great,8,Paper Mario: The Origami King 
80,NS,Great,8,Bloodstained: Curse Of The Moon 2 
81,PS4,Good,7,Ghost Of Tsushima 
82,NS,Mediocre,5,Story Of Seasons: Friends Of Mineral Town 
83,PS4,Good,7,Superhot: Mind Control Delete 
84,PS4,Superb,9,Death Stranding 
85,PS4,Fair,6,CrossCode 
86,NS,Mediocre,5,Deadly Premonition 2: A Blessing In Disguise 
87,PS4,Fair,6,Marvel's Iron Man VR 
88,NS,Fair,6,Ninjala 
89,NS,Great,8,Mr. Driller Drill Land 
90,PC,Mediocre,5,West Of Dead 
91,NS,Great,8,Pokemon Sword And Shield Isle Of Armor DLC 
92,IOS,Superb,9,Slay The Spire 
93,NS,Fair,6,Death Come True 
94,PC,Mediocre,5,Crucible 
95,PS4,Great,8,The Last Of Us Part 2 Spoiler 
96,PS4,Great,8,The Last Of Us Part 2 Spoiler-Free 
97,PS4,Terrible,2,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated 
98,PC,Good,7,Valorant 
99,PS4,Mediocre,5,Skelattack 
100,PS4,Fair,6,Project Warlock 
101,PC,Good,7,Disintegration 
102,NS,Fair,6,XCOM 2 Collection For Nintendo Switch 
103,NS,Fair,6,The Outer Worlds For Nintendo Switch 
104,NS,Poor,4,Liberated 
105,PC,Fair,6,Resolutiion 
106,PC,Bad,3,Those Who Remain 
107,PC,Great,8,Sea Of Thieves 
108,NS,Superb,9,Xenoblade Chronicles: Definitive Edition 
109,XONE,Good,7,Minecraft Dungeons 
110,PS4,Good,7,Maneater 
111,PS4,Good,7,Mortal Kombat 11: Aftermath 
112,PC,Superb,9,If Found 
113,NS,Superb,9,What The Golf Switch 
114,"PC, IOS",Great,8,What The Golf 
115,NS,Poor,4,The Wonderful 101 Remastered 
116,WIIU,Great,8,The Wonderful 101 
117,NS,Great,8,Hatsune Miku: Project DIVA MegaMix 
118,PC,Essential,1,Rainbow Six Siege 
119,PC,Superb,9,Legends Of Runeterra 
120,PS4,Poor,4,Predator: Hunting Grounds 
121,PS4,Good,7,Sakura Wars 
122,PC,Great,8,XCOM: Chimera Squad 
123,PC,Good,7,Cloudpunk 
124,PS4,Great,8,Streets Of Rage 4 
125,"XONE, PC, PS4",Great,8,Rainbow Six Siege 
126,PC,Great,8,Gears Tactics 
127,PC,Mediocre,5,Fallout 76: Wastelanders 
128,NS,Fair,6,Trials Of Mana 
129,NS,Great,8,Treachery In Beatdown City 
130,PC,Superb,9,In Other Waters 
131,XONE,Fair,6,Bleeding Edge 
132,PS4,Essential,1,Final Fantasy 7 Remake 
133,NS,Superb,9,Animal Crossing: New Horizons 
134,PS4,Essential,1,Persona 5 Royal 
135,PS4,Fair,6,Resident Evil 3 Remake 
136,NS,Good,7,Good Job 
137,PC,Fair,6,Corruption 2029 
138,PS4,Great,8,MLB The Show 20 
139,"PC, PS4, XONE",Good,7,Call Of Duty Warzone 
140,PC,Superb,9,Half-Life: Alyx 
141,"PC, NS, XONE, PS4",Great,8,Doom Eternal 
142,PS4,Great,8,Nioh 2 
143,XONE,Great,8,Ori And The Will Of The Wisps 
144,PC,Fair,6,Mindseize 
145,"LNX, MAC, AND, PC",Superb,9,Dota Underlords 
146,NS,Great,8,Pokemon Mystery Dungeon: Rescue Team DX 
147,PC,Poor,4,Wolcen: Lords Of Mayhem 
148,PS4,Great,8,Bloodroots 
149,NS,Poor,4,Snack World 
150,PS4,Superb,9,Dreams 
151,PS4,Good,7,Granblue Fantasy Versus 
152,PC,Good,7,The Pedestrian 
153,PC,Great,8,Through The Darkest Of Times 
154,NS,Good,7,Kunai 
155,NS,Superb,9,Kentucky Route Zero 
156,PS4,Poor,4,Kingdom Hearts 3 Re:Mind 
157,PC,Good,7,Lenna's Inception 
158,"PC, PS4",Good,7,Journey To The Savage Planet 
159,PC,Great,8,Frostpunk: The Last Autumn 
160,"XONE, PS4",Good,7,Dragon Ball Z: Kakarot 
161,PC,Great,8,Unity Of Command 2 
162,"PC, NS, IOS",Great,8,Overland 
163,"PS4, PC, XONE",Great,8,Ace Combat 7: Skies Unknown 
164,"PS4, XONE, PC",Superb,9,The Outer Worlds 
165,"PC, PS4, XONE",Good,7,Draugen 
166,PS4,Good,7,Wattam 
167,PC,Bad,3,Supermash 
168,NS,Great,8,The Touryst 
169,PC,Great,8,Phoenix Point 
170,PC,Good,7,Darksiders: Genesis 
171,PC,Great,8,Shovel Knight: King Of Cards 
172,"PS4, PC, XONE",Great,8,Life Is Strange 2: Episode 5 
173,PS4,Fair,6,Audica 
174,PS4,Mediocre,5,Shenmue 3 
175,PC,Mediocre,5,Blacksad: Under The Skin 
176,PC,Good,7,Planet Zoo 
177,NS,Fair,6,Sparklite 
178,"PS4, PS4",Great,8,Star Wars Jedi: Fallen Order 
179,NS,Superb,9,Pokemon Sword & Shield 
180,NS,Good,7,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy 
181,PS4,Good,7,Need For Speed Heat 
182,NS,Good,7,Mario & Sonic At The Olympic Games Tokyo 2020 
183,"PC, PS4",Good,7,Call Of Duty: Modern Warfare 
184,"PS4, XONE",Superb,9,Red Dead Redemption 2 
185,"AND, IOS",Great,8,Call Of Duty Mobile 
186,PC,Essential,1,Disco Elysium 
187,PC,Good,7,Afterparty 
188,NS,Great,8,Luigi's Mansion 3 
189,PS4,Terrible,2,WWE 2K20 
190,PS4,Mediocre,5,Super Monkey Ball Banana Blitz HD 
191,"PC, IOS",Superb,9,Manifold Garden 
192,PS4,Mediocre,5,MediEvil 
193,NS,Mediocre,5,Felix The Reaper 
194,NS,Mediocre,5,Little Town Hero 
195,NS,Superb,9,The Witcher 3 Nintendo Switch 
196,NS,Great,8,Killer Queen Black 
197,"PC, XONE, PS4",Poor,4,Ghost Recon Breakpoint 
198,PC,Great,8,John Wick Hex 
199,PS4,Good,7,Concrete Genie 
200,PC,Good,7,Indivisible 
201,"PC, NS, IOS",Good,7,Neo Cab 
202,"PC, PS4, PS4",Great,8,Destiny 2 Shadowkeep 
203,NS,Fair,6,Yooka-Laylee And The Impossible Lair 
204,NS,Fair,6,Sayonara Wild Hearts 
205,"PC, PS4",Fair,6,Code Vein 
206,"PC, NS",Great,8,Untitled Goose Game 
207,PC,Great,8,The Surge 2 
208,"IOS, PC, NS",Great,8,80 Days 
209,PS4,Great,8,FIFA 20 
210,"NS, PS4",Superb,9,Dragon Quest XI 
211,PC,Good,7,Blasphemous 
212,PC,Mediocre,5,Greedfall 
213,XONE,Superb,9,NHL 20 
214,NS,Great,8,The Legend Of Zelda: Link’s Awakening 
215,PS4,Superb,9,No Man's Sky Beyond 
216,PC,Great,8,Children of Morta 
217,PS4,Great,8,AI: The Somnium Files 
218,PC,Great,8,Borderlands 3 
219,PS4,Superb,9,eFootball PES 2020 
220,NS,Good,7,Daemon X Machina 
221,"XONE, PC",Good,7,Gears 5 
222,"PC, PS4, NS",Essential,1,Divinity: Original Sin 2 
223,PC,Great,8,Creature In The Well 
224,PS4,Superb,9,Monster Hunter World: Iceborne 
225,"PS4, PC",Great,8,Knights And Bikes 
226,PS4,Great,8,Erica 
227,"PS4, XONE, PC",Superb,9,Apex Legends 
228,PS4,Fair,6,The Dark Pictures: Man of Medan 
229,PC,Mediocre,5,Blair Witch (Game) 
230,PS4,Great,8,Catherine: Full Body 
231,NS,Great,8,Astral Chain 
232,PC,Good,7,Telling Lies 
233,PC,Poor,4,Ancestors: The Humankind Odyssey 
234,"XONE, PS4",Great,8,Control 
235,"XONE, PC, PS4",Good,7,Life Is Strange 2: Episode 4 
236,PC,Good,7,Remnant: From the Ashes 
237,PC,Great,8,Wolfenstein: Youngblood 
238,PS4,Good,7,Kill La Kill The Game: IF 
239,"PC, NS",Fair,6,Etherborn 
240,PC,Great,8,Warframe 
241,NS,Great,8,Marvel Ultimate Alliance 3: The Black Order 
242,PC,Great,8,Night Call 
243,"PC, PS4",Superb,9,Final Fantasy XIV: Shadowbringers 
244,NS,Great,8,Dragon Quest Builders 2 
245,PS4,Fair,6,SolSeraph 
246,PC,Mediocre,5,198X 
247,PC,Mediocre,5,Weedcraft Inc 
248,PC,Great,8,They Are Billions 
249,PS4,Good,7,Sea Of Solitude 
250,NS,Great,8,Super Mario Maker 2 
251,NS,Fair,6,Bloodstained: Ritual Of The Night Nintendo Switch 
252,"PC, PS4",Great,8,Bloodstained: Ritual Of The Night 
253,PS4,Great,8,Samurai Shodown 
254,PC,Superb,9,F1 2019 
255,PS4,Good,7,Judgment 
256,PS4,Bad,3,The Sinking City 
257,PC,Mediocre,5,Imperator: Rome 
258,PC,Great,8,Mordhau 
259,NS,Great,8,Cadence Of Hyrule 
260,"PC, NS",Good,7,My Friend Pedro 
261,PS4,Great,8,Crash Team Racing Nitro-Fueled 
262,PC,Superb,9,Outer Wilds 
263,"NS, PC",Great,8,Octopath Traveler 
264,3DS,Good,7,Persona Q2 
265,"PC, PS4",Great,8,Observation 
266,"PS4, PC",Good,7,Dauntless 
267,PC,Great,8,Void Bastards 
268,PS4,Good,7,Trover Saves The Universe 
269,PS4,Good,7,Blood and Truth 
270,"PC, XONE",Mediocre,5,Pathologic 2 
271,PC,Good,7,Anno 1800 
272,"PC, XONE, PS4, NS",Superb,9,Mortal Kombat 11 
273,PC,Great,8,Total War: Three Kingdoms 
274,NS,Fair,6,Travis Strikes Again: No More Heroes 
275,"PS4, XONE, PC",Great,8,A Plague Tale: Innocence 
276,XONE,Mediocre,5,Layers of Fear 2 
277,PS4,Fair,6,Everybody's Golf VR 
278,"XONE, PS4",Good,7,Team Sonic Racing 
279,"PC, PS4",Great,8,Metro Exodus 
280,PC,Good,7,Whispers of a Machine 
281,PS4,Superb,9,Darkwood 
282,PC,Fair,6,Rage 2 
283,"PS4, PC, XONE",Great,8,Life Is Strange 2: Episode 3 
284,PC,Fair,6,World War Z 
285,XONE,Poor,4,Giga Wrecker Alt 
286,PS4,Great,8,Yakuza Kiwami 2 
287,PS4,Mediocre,5,Days Gone 
288,NS,Good,7,BoxBoy! + BoxGirl! 
289,NS,Good,7,SteamWorld Quest 
290,PC,Great,8,Katana Zero 
291,"XONE, PC, NS",Great,8,Cuphead 
292,PS4,Great,8,Falcon Age 
293,PC,Fair,6,Pathway 
294,"PC, PS4",Fair,6,Heaven's Vault 
295,"PS4, XONE, NS, PC",Fair,6,My Time At Portia 
296,"PS4, PC, XONE, NS",Great,8,Hellblade: Senua's Sacrifice 
297,PS4,Fair,6,Zanki Zero: Last Beginning 
298,PS4,Superb,9,MLB The Show 19 
299,PC,Great,8,Tropico 6 
300,"PC, XONE, PS4",Superb,9,The Division 2 
301,PC,Fair,6,The World Next Door 
302,PC,Great,8,Operencia: The Stolen Sun 
303,PS4,Superb,9,Sekiro: Shadows Die Twice 
304,PC,Superb,9,The Walking Dead: The Final Season Episode 4 
305,NS,Great,8,Yoshi's Crafted World 
306,PC,Great,8,Hypnospace Outlaw 
307,"PC, NS",Good,7,Baba is You 
308,PC,Good,7,Ethereal 
309,PS4,Bad,3,Left Alive 
310,PC,Great,8,Objects In Space 
311,XONE,Superb,9,Devil May Cry 5 
312,PS4,Mediocre,5,ToeJam & Earl: Back In The Groove 
313,NS,Superb,9,Assault Android Cactus+ 
314,"PC, NS",Good,7,Ape Out 
315,3DS,Superb,9,Kirby's Extra Epic Yarn 
316,PS4,Good,7,Dead Or Alive 6 
317,"PC, XONE, PS4",Great,8,The Occupation 
318,"XONE, PC, PS4",Fair,6,Far Cry: New Dawn 
319,PC,Superb,9,Civilization 6: Gathering Storm 
320,PC,Superb,9,Eastshade 
321,PS4,Good,7,Trials Rising 
322,PC,Superb,9,Devotion 
323,"PC, XONE, PS4",Fair,6,Anthem 
324,NS,Great,8,Tetris 99 
325,XONE,Mediocre,5,Crackdown 3 
326,"PC, XONE, PS4",Good,7,Jump Force 
327,3DS,Fair,6,Yo-kai Watch 3 
328,"PS4, PC",Great,8,Yakuza Kiwami 
329,"PS4, PC",Fair,6,God Eater 3 
330,PC,Fair,6,Astroneer 
331,NS,Good,7,Dragon Marked for Death 
332,PC,Great,8,Sunless Skies 
333,NS,Great,8,Wargroove 
334,3DS,Great,8,Etrian Odyssey Nexus 
335,PC,Good,7,Jon Shafer's At The Gates 
336,"PS4, PC",Good,7,The Hong Kong Massacre 
337,"PC, PS4, NS",Great,8,Downwell 
338,PC,Fair,6,Mage's Initiation: Reign Of The Elements 
339,"XONE, PS4",Great,8,Kingdom Hearts 3 
340,"PC, NS",Great,8,Pikuniku 
341,XONE,Poor,4,Genesis Alpha One 
342,"XONE, PC, PS4",Superb,9,Resident Evil 2 
343,"PS4, XONE, PC",Great,8,Life Is Strange 2: Episode 2 
344,3DS,Great,8,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey 
345,PS4,Great,8,The Walking Dead: The Final Season Episode 3 
346,PS4,Mediocre,5,YIIK: A Postmodern RPG 
347,NS,Fair,6,Double Cross 
348,PS4,Mediocre,5,Vane 
349,PC,Great,8,The Eternal Castle Remastered 
350,NS,Good,7,New Super Mario Bros. U Deluxe 
351,"XONE, PC",Fair,6,Below 
352,NS,Great,8,"Bury Me, My Love "
353,NS,Fair,6,Battle Princess Madelyn 
354,NS,Superb,9,Super Smash Bros. Ultimate 
355,PC,Superb,9,Gris 
356,"PC, XONE, PS4, NS",Great,8,Monster Boy And The Cursed Kingdom 
357,"PC, PS4",Superb,9,Thronebreaker: The Witcher Tales 
358,"PC, PS4, XONE, NS",Mediocre,5,Desert Child 
359,PS4,Great,8,Earth Defense Force 5 
360,"XONE, PC",Superb,9,Ashen 
361,PC,Great,8,Artifact 
362,PC,Fair,6,Just Cause 4 
363,PS4,Mediocre,5,Big Bash Boom 
364,PC,Good,7,Cosmic Top Secret 
365,PS4,Poor,4,Darksiders 3 
366,PS4,Great,8,Persona 5: Dancing In Starlight 
367,PS4,Superb,9,Persona 3: Dancing In Moonlight 
368,PS4,Great,8,Beat Saber 
369,"PC, PS4, NS",Good,7,Nidhogg 2 
370,"PS4, PC, XONE",Great,8,Hitman 2 
371,"PC, PS4, XONE",Poor,4,Fallout 76 
372,PC,Terrible,2,Underworld Ascendant 
373,NS,Good,7,Taiko no Tatsujin: Drum 'n' Fun / Drum Session 
374,PC,Great,8,Battlefield 5 
375,"NS, NS",Great,8,Pokemon Let's Go Pikachu And Let's Go Eevee 
376,PC,Bad,3,Overkill's The Walking Dead 
377,PS4,Great,8,Spyro Reignited Trilogy 
378,"PS4, XONE, PC",Good,7,11-11: Memories Retold 
379,"XONE, NS",Great,8,Full Metal Furies 
380,"PC, PS4, XONE, NS",Fair,6,Sinner: Sacrifice for Redemption 
381,PS4,Terrible,2,The Quiet Man 
382,PC,Good,7,Cities: Skylines - Industries 
383,NS,Great,8,SNK 40th Anniversary Collection 
384,PS4,Mediocre,5,Deracine 
385,PC,Great,8,Football Manager 2019 
386,"PC, PS4, XONE",Mediocre,5,Call Of Cthulhu 
387,NS,Superb,9,Diablo 3: Eternal Collection Switch 
388,PC,Great,8,Gwent 
389,NS,Mediocre,5,Black Bird 
390,"PC, PS4, NS",Great,8,Transistor 
391,"PS4, XONE",Fair,6,My Hero One's Justice 
392,PS4,Good,7,WWE 2K19 
393,"PC, MAC",Superb,9,Return Of The Obra Dinn 
394,XONE,Mediocre,5,NBA 2K Playgrounds 2 
395,PS4,Great,8,Call Of Duty: Black Ops 4 
396,"AND, IOS",Great,8,Reigns: Game Of Thrones 
397,"PC, XONE, PS4",Great,8,SoulCalibur 6 
398,PS4,Mediocre,5,Lego DC Super-Villains 
399,"NS, NS",Great,8,Dark Souls Remastered Switch 
400,"NS, XONE, PS4",Good,7,Starlink: Battle for Atlas 
401,"PC, NS",Great,8,Armello 
402,3DS,Good,7,Luigi's Mansion 
403,"PS4, XONE, PC, NS",Great,8,The Missing 
404,"XONE, PS3, NS",Great,8,Child of Light 
405,"PC, PS4, NS",Great,8,Chasm 
406,NS,Good,7,Super Mario Party 
407,PC,Good,7,"World of Warcraft: Battle For Azeroth - Come One, Come All"
408,"PC, PS4, XONE",Mediocre,5,My Memory of Us 
409,NS,Mediocre,5,FIFA 19 Nintendo Switch 
410,PC,Fair,6,Pathfinder: Kingmaker 
411,"PS4, XONE, PC",Great,8,Assassin's Creed Odyssey 
412,"XONE, PS4",Good,7,FIFA 19 
413,"PC, XONE",Superb,9,Forza Horizon 4 
414,"PS4, PC, XONE",Great,8,Destiny 2: Forsaken 
415,"PC, NS",Great,8,Cities: Skylines 
416,"NS, XONE, PS4",Good,7,Mega Man 11 
417,NS,Good,7,Freedom Planet 
418,PS4,Great,8,Fist Of The North Star: Lost Paradise 
419,PC,Poor,4,The Bard's Tale IV: Barrows Deep 
420,NS,Good,7,Final Fantasy XV: Pocket Edition HD 
421,"XONE, PS4, NS",Superb,9,Dragon Ball FighterZ 
422,PS4,Superb,9,PES 2019 
423,PS4,Great,8,Telltale's The Walking Dead: The Final Season Episode 2 
424,"PC, PS4, XONE",Superb,9,Life Is Strange 2: Episode 1 
425,PS4,Good,7,Transference 
426,PC,Fair,6,Star Control: Origins 
427,"PC, NS",Great,8,Broken Sword 5: The Serpent's Curse 
428,NS,Great,8,The Gardens Between 
429,"XONE, PS4",Great,8,NHL 19 
430,NS,Great,8,Wasteland 2: Director's Cut Nintendo Switch 
431,PS4,Mediocre,5,Zone Of The Enders: The 2nd Runner - MARS 
432,"PC, MAC, PS4, NS",Superb,9,Undertale 
433,NS,Good,7,Nintendo Labo Vehicle Kit 
434,PC,Fair,6,Lamplight City 
435,PC,Great,8,Frozen Synapse 2 
436,PS4,Great,8,428: Shibuya Scramble 
437,PS4,Good,7,NBA 2K19 
438,"PS4, XONE, PC, NS",Great,8,Valkyria Chronicles 4 
439,"PS4, PC, XONE",Fair,6,Shadow Of The Tomb Raider 
440,"PS4, XONE",Good,7,NBA Live 19 
441,PC,Great,8,Two Point Hospital 
442,PS4,Superb,9,Marvel's Spider-Man PS4 
443,XONE,Good,7,Strange Brigade 
444,NS,Good,7,Planet Alpha 
445,PC,Fair,6,Donut County 
446,NS,Fair,6,Little Dragons Cafe 
447,"PC, NS",Superb,9,Into The Breach 
448,TG16,Terrible,2,Vigilante 
449,"PC, NS",Great,8,The Messenger 
450,PC,Great,8,The Golf Club 2019 
451,NS,Superb,9,Hollow Knight 
452,NS,Good,7,Monster Hunter Generations Ultimate 
453,PS4,Superb,9,F1 2018 
454,PC,Fair,6,Death's Gambit 
455,PC,Mediocre,5,The King's Bird 
456,PS4,Superb,9,Guacamelee 2 
457,PS4,Good,7,H1Z1 Battle Royale PS4 
458,PS4,Great,8,The Walking Dead - The Final Season Episode 1: Done Running 
459,PC,Superb,9,Phantom Doctrine 
460,PC,Good,7,Flipping Death 
461,XONE,Great,8,Madden NFL 19 
462,PC,Poor,4,We Happy Few 
463,PC,Superb,9,Unavowed 
464,"PS4, PC",Great,8,Monster Hunter World 
465,NS,Great,8,Overcooked 2 
466,"PS4, XONE, NS, PC",Superb,9,Dead Cells 
467,PS4,Good,7,No Man's Sky 
468,"PC, PS4, XONE",Great,8,No Man's Sky Next 
469,3DS,Great,8,WarioWare Gold 
470,PC,Great,8,The Banner Saga 3 
471,"NS, PS4",Great,8,Mega Man X Legacy Collection 1 + 2 
472,XONE,Poor,4,Earthfall 
473,NS,Good,7,Semblance 
474,"PS4, XONE, PC",Great,8,Mothergunship 
475,NS,Good,7,20XX 
476,PS4,Great,8,Fighting EX Layer 
477,NS,Great,8,Captain Toad: Treasure Tracker Nintendo Switch 
478,"PS4, XONE, PC, NS",Superb,9,Sonic Mania Plus 
479,"PS3, VITA, PS4",Mediocre,5,Rainbow Skies 
480,PS4,Great,8,The Crew 2 
481,NS,Great,8,Wolfenstein 2: The New Colossus Nintendo Switch 
482,PC,Superb,9,Wreckfest 
483,"NS, PS4, XONE, PC",Great,8,Lumines Remastered: Groove Is In The Heart
484,"PS4, NS, XONE, PC",Fair,6,Crash Bandicoot N Sane Trilogy 
485,NS,Good,7,Mario Tennis Aces 
486,"PC, PS4, XONE",Superb,9,Nier: Automata 
487,"XONE, PS4, PC",Great,8,The Awesome Adventures Of Captain Spirit - Mind Over Matter
488,"PS4, PC, XONE",Good,7,Jurassic World Evolution 
489,"PS4, XONE, PC",Great,8,Unravel 2 
490,"PC, PS4",Good,7,Moonlighter 
491,NS,Good,7,Sushi Striker: The Way Of Sushido 
492,"PC, NS",Great,8,West Of Loathing 
493,"NS, PS4",Superb,9,BlazBlue: Cross Tag Battle 
494,PS4,Superb,9,Onrush 
495,PC,Mediocre,5,Golem 
496,"PS4, PC",Good,7,Vampyr 
497,PC,Superb,9,Yoku’s Island Express 
498,3DS,Fair,6,Dillon's Dead-Heat Breakers 
499,PC,Great,8,The Forest 
500,PC,Bad,3,Agony 
501,"XONE, NS, PC, PS4",Great,8,Street Fighter 30th Anniversary Collection 
502,PC,Good,7,Quarantine Circular 
503,"XONE, PC",Bad,3,Conan Exiles 
504,NS,Good,7,Wizard Of Legend 
505,PS4,Good,7,Detroit: Become Human 
506,"NS, PC",Good,7,Runner 3 
507,"XONE, PC",Mediocre,5,State Of Decay 2 
508,NS,Great,8,Hyrule Warriors: Definitive Edition 
509,"PC, NS",Good,7,Framed Collection 
510,"PC, XONE, PS4, NS",Great,8,Battle Chasers Nightwar 
511,"PC, PS4",Fair,6,Battle Chasers: Nightwar 
512,PC,Great,8,FAR: Lone Sails 
513,PS4,Fair,6,Destiny 2: Warmind 
514,PC,Great,8,Pillars Of Eternity 2: Deadfire 
515,PC,Great,8,Battletech 
516,PC,Great,8,Total War Saga: Thrones Of Britannia 
517,"XONE, PS4, PC",Good,7,City of Brass 
518,NS,Good,7,Nintendo Labo 
519,NS,Superb,9,Donkey Kong Country: Tropical Freeze 
520,WIIU,Fair,6,Donkey Kong Country: Tropical Freeze 
521,NS,Good,7,Jotun: Valhalla Edition Switch 
522,PC,Superb,9,Frostpunk 
523,XONE,Good,7,The Invisible Hours 
524,"PS4, PC",Good,7,The Swords Of Ditto 
525,3DS,Great,8,The Alliance Alive 
526,"PC, XONE, PS4",Great,8,Life Is Strange: Before The Storm 
527,PS4,Great,8,Yakuza 6: The Song Of Life 
528,PS4,Superb,9,God Of War 
529,NS,Fair,6,Penny-Punching Princess 
530,"PC, XONE, PS4",Poor,4,Extinction 
531,PC,Great,8,Fortnite: Battle Royale 
532,"PS4, XONE",Superb,9,Far Cry 5 
533,"PC, PS4",Great,8,Minit 
534,PC,Good,7,Kerbal Space Program: Making History 
535,PC,Fair,6,Orwell: Ignorance Is Strength 
536,PS4,Superb,9,MLB The Show 18 
537,XONE,Fair,6,Sea Of Thieves 
538,NS,Poor,4,Bridge Constructor Portal 
539,PS4,Superb,9,Batman: The Enemy Within Episode 5 
540,PC,Fair,6,H1Z1 
541,PC,Great,8,Ni No Kuni 2: Revenant Kingdom 
542,PS4,Fair,6,A Way Out 
543,3DS,Good,7,Detective Pikachu 
544,PS4,Great,8,Attack on Titan 2 
545,PC,Great,8,Surviving Mars 
546,PS4,Poor,4,Bravo Team 
547,NS,Great,8,Kirby Star Allies 
548,PS4,Fair,6,The 25th Ward: The Silver Case 
549,PC,Good,7,Pit People 
550,PS4,Good,7,Q.U.B.E. 2 
551,PS4,Mediocre,5,Gravel 
552,"PS4, NS",Good,7,Mulaka 
553,3DS,Great,8,Mario & Luigi: Superstar Saga + Bowser's Minions 
554,"PS4, XONE, PC, NS",Great,8,Pac-Man: Championship Edition 2 
555,PS4,Mediocre,5,Metal Gear Survive 
556,PC,Fair,6,Where The Water Tastes Like Wine 
557,PS4,Great,8,Moss 
558,NS,Mediocre,5,Payday 2 Switch 
559,"PC, PS3, X360",Good,7,Payday 2 
560,PC,Fair,6,Age Of Empires: Definitive Edition 
561,"PC, XONE, PS4",Great,8,Kingdom Come: Deliverance 
562,NS,Good,7,Fe 
563,PS4,Fair,6,Secret Of Mana 
564,PC,Bad,3,Rust 
565,PC,Good,7,Attack Of The Earthlings 
566,NS,Poor,4,Aegis Defenders 
