,Console,Review,Score,Name
8117,GBA,Fair,6,WTA Tour Tennis 
8118,PS2,Good,7,Sky Gunner 
8119,PS2,Mediocre,5,Stitch: Experiment 626 
8120,PS2,Bad,3,Shifters 
8121,GC,Good,7,Lost Kingdoms 
8122,GC,Great,8,Bomberman Generation 
8123,PS2,Great,8,Freekstyle 
8124,GBA,Fair,6,Punch King 
8125,PC,Mediocre,5,Pac-Man All-Stars 
8126,PS2,Great,8,Lethal Skies Elite Pilot: Team SW 
8127,GC,Good,7,RedCard 2003 
8128,XBOX,Good,7,RedCard 2003 
8129,PC,Poor,4,Jazz and Faust 
8130,GBA,Mediocre,5,Dinotopia: The Timestone Pirates 
8131,PS2,Poor,4,Monster Jam: Maximum Destruction 
8132,PC,Fair,6,Baseball Mogul 2003 
8133,PS2,Great,8,F1 2002 
8134,PC,Great,8,F1 2002 
8135,PS2,Good,7,Fire Blade 
8136,PC,Good,7,The Sum of All Fears 
8137,GBA,Poor,4,Frogger Advance: The Great Quest 
8138,PS,Poor,4,Power Play Sports Trivia PsX 
8139,PS2,Good,7,MX Superfly 
8140,GC,Good,7,MX Superfly 
8141,PC,Bad,3,Elite Forces: Navy SEALs 
8142,GBA,Terrible,2,Earthworm Jim 2 
8143,PC,Terrible,2,Extreme Paintbrawl 4 
8144,PC,Good,7,Hyperspace Delivery Boy! 
8145,PS,Mediocre,5,C-12: Final Resistance 
8146,PS2,Good,7,Downforce 
8147,XBOX,Mediocre,5,Tetris Worlds 
8148,XBOX,Bad,3,Bruce Lee: Quest of the Dragon 
8149,GC,Good,7,Ultimate Fighting Championship: Throwdown 
8150,PS2,Fair,6,Tom and Jerry: War of the Whiskers 
8151,XBOX,Bad,3,Totaled! 
8152,GBC,Mediocre,5,Resident Evil Gaiden 
8153,GBA,Great,8,The Pinball of the Dead 
8154,PS2,Terrible,2,Mike Tyson Heavyweight Boxing 
8155,XBOX,Good,7,David Beckham Soccer 
8156,XBOX,Great,8,Aggressive Inline 
8157,GBA,Good,7,All-Star Baseball 2003 
8158,XBOX,Good,7,NFL Fever 2003 
8159,PC,Good,7,PureSim Baseball 
8160,PS,Bad,3,Lilo and Stitch 
8161,PC,Terrible,2,Tsunami 2265 
8162,PC,Great,8,Airborne Assault: Red Devils over Arnhem 
8163,PS2,Great,8,NCAA Football 2003 
8164,GC,Great,8,NCAA Football 2003 
8165,GBA,Great,8,GT Advance 2: Rally Racing 
8166,PC,Great,8,Austerlitz: Napoleon's Greatest Victory 
8167,PC,Poor,4,Soccer Mania 
8168,PS2,Mediocre,5,Lego Soccer Mania 
8169,PC,Good,7,Strategic Command: European Theater 
8170,PS2,Good,7,Romance of the Three Kingdoms VII 
8171,PC,Good,7,The Elder Scrolls III: Tribunal 
8172,XBOX,Great,8,Buffy the Vampire Slayer 
8173,PC,Great,8,Medal of Honor Allied Assault: Spearhead 
8174,PS2,Great,8,The Thing 
8175,PC,Poor,4,U.S. Special Forces: Team Factor 
8176,PC,Fair,6,Earth & Beyond 
8177,PS,Fair,6,Capcom Vs. SNK Pro: Millennium Fight 2000 
8178,PC,Fair,6,Project: Nomads 
8179,PS,Mediocre,5,Stuart Little 2 
8180,GC,Poor,4,Disney's Magical Mirror Starring Mickey Mouse 
8181,PS2,Good,7,Mat Hoffman's Pro BMX 2 
8182,XBOX,Good,7,Mat Hoffman's Pro BMX 2 
8183,GBA,Great,8,Mat Hoffman's Pro BMX 2 
8184,PC,Great,8,Celtic Kings: Rage of War 
8185,XBOX,Superb,9,NFL 2K3 
8186,XBOX,Great,8,Madden NFL 2003 
8187,GC,Great,8,Madden NFL 2003 
8188,PC,Superb,9,Madden NFL 2003 
8189,PC,Great,8,Icewind Dale II 
8190,GC,Good,7,Smuggler's Run: Warzones 
8191,PC,Great,8,MoonBase Commander 
8192,GC,Great,8,Beach Spikers 
8193,PC,Poor,4,Real War: Rogue States 
8194,PC,Mediocre,5,Empire Earth: The Art of Conquest Expansion 
8195,XBOX,Great,8,NFL Blitz 2003 
8196,PS2,Great,8,NFL Blitz 2003 
8197,PS2,Mediocre,5,NCAA GameBreaker 2003 
8198,PS2,Fair,6,NFL GameDay 2003 
8199,GBA,Poor,4,XXX 
8200,PC,Fair,6,US Open 2002 
8201,PC,Mediocre,5,Michael Schumacher Racing World Kart 2002 
8202,PC,Fair,6,Gladiators of Rome 
8203,PC,Great,8,Port Royale 
8204,GBA,Good,7,Jet Grind Radio 
8205,PC,Great,8,Age of Mythology: The Titans 
8206,GBA,Good,7,Stuntman 
8207,GBA,Mediocre,5,Shining Soul 
8208,PC,Great,8,Warlords IV: Heroes of Etheria 
8209,PS2,Mediocre,5,Chaos Legion 
8210,PS2,Great,8,NHL Hitz Pro 
8211,GC,Great,8,Buffy the Vampire Slayer: Chaos Bleeds 
8212,GC,Good,7,Batman: Rise of Sin Tzu 
8213,GBA,Fair,6,Disney's Extreme Skate Adventure 
8214,GC,Fair,6,Frogger's Adventures: The Rescue 
8215,PS2,Fair,6,Frogger's Adventures: The Rescue 
8216,PC,Poor,4,Rugby 2004 
8217,NGE,Bad,3,Red Faction 
8218,GBA,Mediocre,5,Mission: Impossible: Operation Surma 
8219,XBOX,Poor,4,Star Trek: Shattered Universe 
8220,PC,Fair,6,Battle Engine Aquila 
8221,PC,Great,8,FirePower for Microsoft Combat Flight Simulator 3 
8222,XBOX,Great,8,Max Payne 2: The Fall of Max Payne 
8223,XBOX,Good,7,I-Ninja 
8224,GBA,Great,8,King of Fighters EX2: Howling Blood 
